# source_id	url	description
wv-10k405-fy1999	https://www.sec.gov/Archives/edgar/data/1092657/0000891618-00-001877.txt	Webvan Group, Inc. — Form 10-K405 for FY1999, filed 2000-03-30
wv-s1-1999	https://www.sec.gov/Archives/edgar/data/1092657/0000891618-99-003537.txt	Webvan Group, Inc. — Form S-1 registration statement, filed 1999-08-06
wv-10q-q3-2000	https://www.sec.gov/Archives/edgar/data/1092657/0000891618-00-005126.txt	Webvan Group, Inc. — Form 10-Q for quarter ended 2000-09-30
wv-10k-fy2000	https://www.sec.gov/Archives/edgar/data/1092657/0001012870-01-001485.txt	Webvan Group, Inc. — Form 10-K for FY2000, filed 2001-04-02
cart-s1-2023	https://www.sec.gov/Archives/edgar/data/1579091/000119312523221345/d55348ds1.htm	Maplebear Inc. (Instacart) — Form S-1, 2023
bw7-2026	https://wetten.overheid.nl/BWBR0005290/2026-01-01	Burgerlijk Wetboek Boek 7 (Dutch Civil Code, employment law), consolidated text as at 2026-01-01
ww-2026	https://wetten.overheid.nl/BWBR0004045/2026-01-01	Werkloosheidswet (Dutch Unemployment Act), consolidated text as at 2026-01-01
km-2009-review	https://www.kalzumeus.com/2009/12/18/bingo-card-creator-year-in-review-2009/	Patrick McKenzie — "Bingo Card Creator Year In Review 2009", published 2009-12-18 while still employed
km-5hours-2010	https://www.kalzumeus.com/2010/03/20/running-a-software-business-on-5-hours-a-week/	Patrick McKenzie — "Running A Software Business On 5 Hours A Week", 2010-03-20
km-2010-review	https://www.kalzumeus.com/2010/12/17/bingo-card-creator-etc-year-in-review-2010/	Patrick McKenzie — "Bingo Card Creator (& etc) Year In Review 2010", published 2010-12-17
galperin-2022	https://erangalperin.com/2022/12/25/bootstrapping-to-profitability-the-story-of-a-b2b-saas-founder/	Eran Galperin — "Bootstrapping to Profitability", 2022-12-25. Founder's later account; weaker evidence, attributed as such in the prose.
draelos-2026	https://glassboxmedicine.com/2026/02/21/why-i-shut-down-my-bootstrapped-health-ai-startup-after-7-years-a-founders-postmortem/	Rachel Draelos — "Why I Shut Down My Bootstrapped Health AI Startup After 7 Years", 2026-02-21. Founder's own post-mortem; weaker class, attributed in prose.
# Everpix / 33cube, Inc. — the company's own dataset, published December 2013 after
# the shutdown. First-party and contemporaneous: the metrics were frozen 2013-11-06.
everpix-readme	https://raw.githubusercontent.com/everpix/Everpix-Intelligence/master/README.md	Everpix Intelligence — README: company summary and high-level metrics at shutdown
everpix-financials	https://raw.githubusercontent.com/everpix/Everpix-Intelligence/master/Financials.md	Everpix Intelligence — Financials.md: financing rounds, cap table, and lifetime profit & loss
everpix-timeline	https://raw.githubusercontent.com/everpix/Everpix-Intelligence/master/Timeline%20%26%20Numbers.md	Everpix Intelligence — Timeline & Numbers.md: product timeline 2011–2013, pricing, engineering totals
everpix-survey-pay	https://raw.githubusercontent.com/everpix/Everpix-Intelligence/master/Google%20Consumer%20Surveys/Would%20you%20pay%20for%20a%20service%20that%20helps%20organize%20and%20manage%20your%20photos.pdf	Google Consumer Surveys for Everpix, 2013-04-20/21 — "Would you pay…" (PDF)
everpix-survey-better	https://raw.githubusercontent.com/everpix/Everpix-Intelligence/master/Google%20Consumer%20Surveys/Do%20you%20want%20a%20better%20way%20to%20manage%20and%20see%20all%20your%20digital%20photos.pdf	Google Consumer Surveys for Everpix, 2013-04-20/21 — "Do you want a better way…" (PDF)
everpix-survey-overwhelming	https://raw.githubusercontent.com/everpix/Everpix-Intelligence/master/Google%20Consumer%20Surveys/Do%20you%20feel%20that%20managing%20your%20digital%20photo%20collection%20is%20overwhelming.pdf	Google Consumer Surveys for Everpix, 2013-04-20/21 — "…is overwhelming?" (PDF)
everpix-paid-acq	https://raw.githubusercontent.com/everpix/Everpix-Intelligence/master/Online%20Paid%20Customer%20Acquisition%20Test%20Results.pdf	Everpix — "Online Customer Acquisition Test Results", May/June 2013 (PDF)
# ch03 — Studio Neat and Coolest Cooler. Kickstarter blocks automated requests, so the
# campaign pages are cited to Internet Archive snapshots: permanent, dated, curl-fetchable.
sn-howto	http://web.archive.org/web/20150221012659/http://www.studioneat.com/blogs/main/17250808-how-to-kickstarter	Studio Neat (Tom Gerhardt & Dan Provost) — "How to Kickstarter", archived 2015-02-21. First-party account of all five of their campaigns, with goals, totals, backer counts and shipping dates. Cited to the archive because the live store rate-limits automated requests.
ks-glif-2010	http://web.archive.org/web/20110101020908/http://www.kickstarter.com/projects/danprovost/glif-iphone-4-tripod-mount-and-stand	Kickstarter — "Glif: iPhone 4 Tripod Mount & Stand", archived 2011-01-01, after the campaign closed
ks-coolest-2014	http://web.archive.org/web/20140902022604/https://www.kickstarter.com/projects/ryangrepper/coolest-cooler-21st-century-cooler-thats-actually	Kickstarter — "COOLEST COOLER", archived 2014-09-02, three days after funding closed
elreg-coolest-2019	https://www.theregister.com/2019/12/11/coolest_cooler_fail/	Matthew Hughes, The Register, 2019-12-11 — the collapse, the unfulfilled orders, the $97 request and the Oregon settlement terms. Secondary class: named journalist, outlet with a corrections policy, attributed in the prose.
bw6-2026	https://wetten.overheid.nl/BWBR0005289	Burgerlijk Wetboek Boek 6 (Dutch Civil Code, obligations), consolidated text as published, consulted 2026-08-02. Arts. 6:230o and 6:230p — consumer withdrawal right on distance contracts and its exceptions. Undated URL because no 2026-01-01 consolidation is served for Book 6.
plausible-1m	https://plausible.io/blog/open-source-saas	Marko Saric, Plausible Analytics — "How we built a $1M ARR open source SaaS", 22 June 2022. First-party: the month-by-month MRR ladder from $64 (May 2019) to $83,637 (June 2022), the date the second founder joined, the five changes made in his first weeks, and their own account of the Product Hunt launch.
plausible-stop-ga	https://plausible.io/blog/remove-google-analytics	Plausible Analytics — "Why you should stop using Google Analytics on your website". The April 2020 post that reached the top of Hacker News, and Plausible's own account of how the incumbent is funded. Also carries the current site-wide self-description.
plausible-docs	https://plausible.io/docs	Plausible Analytics documentation index, consulted 2026-08-02. Evidence that the 2020 refusal of advanced reporting was later relaxed. A live page: expected to drift, and registered so that it does so visibly.
km-ar-6months	https://www.kalzumeus.com/2011/04/15/appointment-reminder-update/	Patrick McKenzie — "Appointment Reminder at 6 Months", 2011-04-15. The only public numeric window on his second product: trial signups, paid customers, run rate and unit economics, alongside his clearest statement of the owned-asset-versus-rented-traffic distinction.
km-2012-review	https://www.kalzumeus.com/2012/12/29/bingo-card-creator-and-other-stuff-year-in-review-2012/	Patrick McKenzie — "Bingo Card Creator (and other stuff) Year in Review 2012", 2012-12-29. Registered for the point at which he stops publishing Appointment Reminder's numbers and excludes it from the profit figure.
nb-convertkit-5k	https://nathanbarry.com/5k/	Nathan Barry — "Growing ConvertKit to $5,020 in Monthly Recurring Revenue", 2015-03-11. Contemporaneous: written at $5,020 MRR, before the outcome was known, and reports the failed public goal and the decline as well as the recovery. Month-by-month MRR, the October 2014 bottom, and the cold-outreach conversion.
nb-direct-sales	https://nathanbarry.com/sales/	Nathan Barry — "Direct Sales for Bootstrapped SaaS Startups: from $1,300 to $725,000 MRR", 2017-07-06. Retrospective, written at $725,000 MRR: the objections, the outreach email sent over a thousand times, the prospecting method, and the concierge-migration churn figures.
# ch09 — Studio Neat returns for pricing; official Dutch sources carry the jurisdiction box.
acm-consumer-prices	https://www.acm.nl/nl/verkoop-aan-consumenten/consumenten-informeren/prijzen-vermelden	Autoriteit Consument & Markt — "Prijzen vermelden", consulted 2026-08-02. Official current business guidance on consumer prices including VAT and unavoidable costs.
bd-vat-example	https://www.belastingdienst.nl/wps/wcm/connect/bldcontentnl/belastingdienst/zakelijk/btw/btw_berekenen_aan_uw_klanten/btw_berekenen/rekenvoorbeeld_btw_berekenen	Belastingdienst — "Rekenvoorbeeld btw berekenen", consulted 2026-08-02. Official inclusive/exclusive VAT calculations at 9% and 21%.
# ch10 — WP Curve, a productised WordPress support service. Archive-cited: the live domain no longer serves these posts.
wpc-jul-2013	http://web.archive.org/web/20140520020130/http://wpcurve.com/70-revenue-growth-ramen-profitable-cofounder-joined-july-monthly-report/	Dan Norris / WP Curve — July 2013 monthly report, published 2013-08-06, archived 2014-05-20. Establishes the 26 June 2013 launch date, the $476 pre-launch base from his previous business Informly, the first week's doubling, and the arrival of a co-founder. Cited to the archive: wpcurve.com was acquired in 2016 and the live domain no longer serves these posts.
wpc-oct-2013	http://web.archive.org/web/20140520015505/http://wpcurve.com/honesty-traction-and-6196-mrr-rocktober-monthly-report/	Dan Norris & Alex McClafferty / WP Curve — October 2013 monthly report, published 2013-11-05, archived 2014-05-20. Customer counts, the month-by-month MRR table from May, the abandoned agency segment after ~50 conversations, and the account of why they stopped publishing revenue in July.
wpc-nov-2013	http://web.archive.org/web/20140520015806/http://wpcurve.com/november-monthly-report/	Dan Norris & Alex McClafferty / WP Curve — November 2013 monthly report, published 2013-12-03, archived 2014-05-20. 155 customers, $8,371 MRR, the MRR ladder, and the statement that there is no virality in the model.
wpc-dec-2013	http://web.archive.org/web/20140520015220/http://wpcurve.com/december-monthly-report/	Dan Norris & Alex McClafferty / WP Curve — December 2013 monthly report, published 2014-01-02, archived 2014-05-20. 178 customers, $9,812 MRR, the run rate, and the discovery that the customers cancelling within the month were bloggers rather than businesses.
# ch11 — Turing School's CIRR outcomes reports. PDFs; verify.sh converts them with pdftotext.
turing-cirr-2016h1	https://cdn.prod.website-files.com/6189a90bab32c37c5095341f/61a4fef0e519eb76c5940116_CIRR-2016-H1-All.pdf	Turing School of Software & Design — CIRR Schedule of Outcome Data, H1 2016 (period 1/1/2016–6/30/2016). Published to the Council on Integrity in Results Reporting standard: enrolled students, graduation within 100% and 150% of program length, and employment at 90 and 180 days, including graduates hired by the school itself.
turing-cirr-2019h1be	https://cdn.prod.website-files.com/6189a90bab32c37c5095341f/61a4ff87cde91778eeb7164f_CIRR-2019-H1-BE.pdf	Turing School Denver, Back End Engineering — CIRR Outcomes Report, H1 2019. Graduation rates, employment at 180 days broken into eight categories including still-seeking and could-not-contact, median pay and salary distribution.
turing-cirr-2020h1be	https://cdn.prod.website-files.com/6189a90bab32c37c5095341f/61a4ff960ea434507bdac069_CIRR-2020-H1-BE.pdf	Turing School of Software and Design, Back-End Engineering — CIRR Outcomes Report, H1 2020. The same programme and reporting standard one year later, with graduation rates and median pay effectively unchanged and employment sharply down.
bw2-jaarrekening	https://wetten.overheid.nl/BWBR0003045	Burgerlijk Wetboek Boek 2 (Dutch Civil Code, legal persons), Titel 9 — jaarrekening en jaarverslag. Consulted 2026-08-02. Arts. 2:394 (deposit at the handelsregister), 2:395a (micro), 2:396 (small, incl. lid 8 limiting publication to a restricted balance sheet and notes) and 2:397 (medium). Undated URL: no 2026-01-01 consolidation is served for Book 2, as with Book 6 in chapter three.
kvk-deponeren	https://ondernemersplein.kvk.nl/jaarrekening-deponeren/	Rijksdienst voor Ondernemend Nederland, via Ondernemersplein — "Jaarrekening deponeren", consulted 2026-08-02. Official guidance on which legal forms must file annual accounts at KVK, the deadlines, and the SBR requirement from financial year 2025.
